物件名,住所,家賃,間取り
カゼッタスッド,東京都新宿区上落合１,18.5万円,2LDK
富久クロスコンフォートタワー,東京都新宿区富久町,18.8万円,1LDK
パークシティ高田馬場,東京都新宿区高田馬場４,18.5万円,ワンルーム
フラットＫ２,東京都新宿区百人町２,16万円,1LDK
Fullea上落合,東京都新宿区上落合３,16.2万円,1LDK
ＮＯＡＨ,東京都新宿区早稲田鶴巻町,12.5万円,1LDK
ザ・パークハウス西新宿タワー６０,東京都新宿区西新宿５,21万円,1LDK
東京メトロ有楽町線 江戸川橋駅 5階建 築5年,東京都新宿区赤城下町,19.2万円,1LDK
ザ・パークハビオ神楽坂香月,東京都新宿区水道町,12.3万円,1K
パークアクシス新宿百人町,東京都新宿区百人町３,14万円,1DK
Reframe 5 早稲田,東京都新宿区早稲田鶴巻町,18万円,1LDK
オアーゼ新宿市谷薬王寺,東京都新宿区市谷薬王寺町,18.2万円,1LDK
コンフォリア早稲田,東京都新宿区弁天町,18.8万円,1LDK
グラナーデ目白御留山,東京都新宿区下落合４,24.2万円,3DK
市谷台町坂フロント,東京都新宿区市谷台町,12.9万円,1K
アーバネックス西新宿2,東京都新宿区北新宿１,15.2万円,1DK
ザ・パークハウス新宿タワー,東京都新宿区北新宿２,23万円,1LDK
パークスフィア牛込神楽坂,東京都新宿区南山伏町,21.6万円,1LDK
ハーモニーレジデンス神楽坂ヒルズsecond,東京都新宿区山吹町,12.95万円,1DK
セントラルレジデンス西早稲田,東京都新宿区西早稲田１,25.5万円,2LDK
